,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
395,395,puerto leguizamo,-0.1934,-74.7819,298.85,70,15,0.91,CO,1696036561
396,396,ceelbuur,4.685,46.6176,298.01,83,32,7.1,SO,1696036561
397,397,kharan,28.5833,65.4167,292.24,17,0,1.17,PK,1696036561
398,398,howrah,22.5892,88.3103,299.15,94,100,5.14,IN,1696036561
399,399,victorica,-36.2151,-65.4359,284.13,37,0,4.32,AR,1696036561
400,400,semera,11.501,41.201,302.75,47,5,1.16,ET,1696036561
401,401,al kharijah,25.4514,30.5464,303.3,17,10,4.17,EG,1696036561
402,402,illizi,26.4833,8.4667,300.04,28,100,3.18,DZ,1696036562
403,403,lorengau,-2.0226,147.2712,301.97,73,88,3.2,PG,1696036562
404,404,al qadarif,14.0349,35.3834,298.76,76,10,3.72,SD,1696036562
405,405,norilsk,69.3535,88.2027,269.5,91,91,4.7,RU,1696036562
406,406,kilimatinde,-5.85,34.95,293.5,72,17,2.91,TZ,1696036562
407,407,kendallville,41.4414,-85.265,289.67,96,0,0.0,US,1696036263
408,408,hami,42.8,93.45,290.72,22,100,2.97,CN,1696036562
409,409,serowe,-22.3833,26.7167,290.41,78,0,2.39,BW,1696036562
410,410,den burg,53.0542,4.7972,290.36,70,100,4.63,NL,1696036562
411,411,bandon,51.7469,-8.7425,284.92,95,100,2.18,IE,1696036562
412,412,es castell,39.8795,4.2854,294.53,100,0,2.57,ES,1696036563
413,413,namibe,-15.1961,12.1522,290.85,88,10,3.65,AO,1696036563
414,414,richards bay,-28.783,32.0377,293.87,87,4,2.79,ZA,1696036563
415,415,urengoy,65.9667,78.3667,273.77,88,46,6.71,RU,1696036563
416,416,nukus,42.4531,59.6103,284.14,71,0,3.09,UZ,1696036563
417,417,xinqing,48.2333,129.5,283.72,71,100,0.86,CN,1696036563
418,418,sovetskiy,61.3614,63.5842,273.65,83,40,2.68,RU,1696036564
419,419,robbah,33.2797,6.9098,296.95,37,0,2.38,DZ,1696036564
420,420,afaahiti,-17.75,-149.2833,300.08,85,52,8.06,PF,1696036564
421,421,ingeniero jacobacci,-41.3427,-69.5448,281.96,46,0,4.92,AR,1696036565
422,422,porto seguro,-16.4497,-39.0647,296.44,83,75,3.6,BR,1696036565
423,423,pudozh,61.8099,36.5345,285.97,90,100,3.26,RU,1696036565
424,424,hermiston,45.8404,-119.2895,289.06,74,100,2.06,US,1696036533
425,425,conceicao do mato dentro,-19.0372,-43.425,291.83,97,55,1.15,BR,1696036565
426,426,port hedland,-20.3167,118.5667,303.18,62,67,2.57,AU,1696036565
427,427,muroto-misakicho,33.2833,134.15,299.32,77,78,1.82,JP,1696036567
428,428,fada,9.5667,8.3,291.88,92,20,0.69,NG,1696036567
429,429,dauphin,51.1494,-100.0502,288.23,63,75,2.06,CA,1696036567
430,430,vilyuchinsk,52.9306,158.4028,284.3,55,100,1.2,RU,1696036567
431,431,villa gesell,-37.2639,-56.973,282.07,64,100,7.0,AR,1696036567
432,432,ulladulla,-35.35,150.4667,301.35,28,0,1.29,AU,1696036567
433,433,zaragoza,41.6561,-0.8773,295.94,45,0,1.03,ES,1696036282
434,434,griffith,41.5284,-87.4237,293.11,84,0,2.06,US,1696036568
435,435,magugu,-4.0167,35.7667,292.77,79,76,1.48,TZ,1696036568
436,436,yichang,30.7144,111.2847,295.23,88,100,0.13,CN,1696036568
437,437,tela,15.7833,-87.45,300.42,86,32,1.72,HN,1696036471
438,438,kudahuvadhoo,2.6708,72.8944,301.52,75,46,7.02,MV,1696036568
439,439,singkil,-7.9855,111.4161,302.1,44,100,3.86,ID,1696036568
440,440,bealanana,-14.55,48.7333,286.15,97,82,1.7,MG,1696036568
441,441,acajutla,13.5928,-89.8275,301.29,80,54,0.28,SV,1696036568
442,442,gamba,-2.65,10.0,297.47,87,100,2.67,GA,1696036568
443,443,dryden,49.7833,-92.7503,285.31,100,0,1.54,CA,1696036569
444,444,singaraja,-8.112,115.0882,301.81,53,71,0.85,ID,1696036569
445,445,goryachiy klyuch,44.6308,39.13,290.94,63,70,1.48,RU,1696036569
446,446,cockburn town,21.4612,-71.1419,302.52,79,0,7.63,TC,1696036569
447,447,cururupu,-1.8283,-44.8683,295.89,93,18,1.42,BR,1696036569
448,448,trashi yangtse,27.6116,91.498,291.99,82,100,1.35,BT,1696036569
449,449,pamandzi,-12.7967,45.2794,297.03,83,0,0.0,YT,1696036569
450,450,dodola,6.9833,39.1833,283.66,88,32,1.0,ET,1696036569
451,451,nishinoomote,30.7333,131.0,300.46,83,75,4.63,JP,1696036569
452,452,nar'yan-mar,67.6713,53.087,276.3,79,100,7.53,RU,1696036570
453,453,igarka,67.4667,86.5833,268.86,94,100,8.37,RU,1696036570
454,454,st ives,50.2086,-5.4875,286.33,88,98,3.0,GB,1696036570
455,455,al bayda',32.7627,21.7551,290.45,92,23,2.92,LY,1696036570
456,456,san,13.3034,-4.8956,302.03,51,70,2.96,ML,1696036500
457,457,broken hill,-31.95,141.4333,301.99,15,0,5.25,AU,1696036570
458,458,ovalle,-30.5983,-71.2003,289.99,59,0,1.12,CL,1696036570
459,459,mana,5.6592,-53.7767,300.09,80,6,5.09,GF,1696036570
460,460,mirador,-6.3708,-44.3631,302.05,36,100,0.72,BR,1696036279
461,461,berezovyy,51.6667,135.7,281.3,92,100,0.88,RU,1696036570
462,462,maceio,-9.6658,-35.7353,298.84,83,40,2.06,BR,1696036473
463,463,aioun,16.6614,-9.6149,306.76,28,84,4.94,MR,1696036571
464,464,gualeguaychu,-33.0094,-58.5172,284.08,93,4,4.44,AR,1696036571
465,465,shady side,38.8418,-76.5122,292.41,90,100,2.57,US,1696036571
466,466,yigo village,13.5361,144.8886,303.77,74,20,3.09,GU,1696036571
467,467,benjamin hill,30.1667,-111.1,302.96,26,0,6.11,MX,1696036571
468,468,tomatlan,19.9333,-105.25,299.64,94,26,2.02,MX,1696036571
469,469,tezu,27.9167,96.1667,301.26,68,77,0.96,IN,1696036571
470,470,juan rodriguez clara,17.9833,-95.4083,297.95,86,93,2.57,MX,1696036571
471,471,lesogorsk,56.0458,99.5136,281.07,89,47,2.8,RU,1696036571
472,472,begamganj,23.6,78.3333,295.96,64,98,1.34,IN,1696036572
473,473,veraval,20.9,70.3667,300.2,76,71,3.81,IN,1696036572
474,474,selfoss,63.9331,-20.9971,277.06,76,22,2.78,IS,1696036572
475,475,palmer,42.1584,-72.3287,285.29,86,100,4.12,US,1696036572
476,476,peace river,56.2501,-117.286,281.32,87,100,1.54,CA,1696036374
477,477,beykonak,36.3257,30.303,296.01,73,0,1.96,TR,1696036572
478,478,maumere,-8.6199,122.2111,300.83,60,17,0.69,ID,1696036572
479,479,kolonia town,6.964,158.206,302.21,94,100,1.54,FM,1696036572
480,480,solleftea,63.1667,17.2667,280.07,96,77,1.18,SE,1696036572
481,481,salinopolis,-0.6136,-47.3561,300.03,80,14,5.65,BR,1696036572
482,482,middlebury (village),44.0153,-73.1673,287.56,91,100,1.21,US,1696036573
483,483,susuman,62.7833,148.1667,271.2,68,71,1.77,RU,1696036573
484,484,waingapu,-9.6567,120.2641,302.11,55,94,5.49,ID,1696036573
485,485,tsaratanana,-16.7833,47.65,292.83,78,16,3.69,MG,1696036573
486,486,tupa,-21.9347,-50.5136,297.72,51,6,3.74,BR,1696036573
487,487,sumbe,-11.2061,13.8437,295.19,90,99,2.35,AO,1696036573
488,488,gushu,31.5598,118.4829,293.14,93,100,2.43,CN,1696036573
489,489,buba,11.5833,-15.0,298.23,96,100,1.38,GW,1696036573
490,490,blenheim,-41.516,173.9528,287.88,36,73,1.79,NZ,1696036573
491,491,nanao,37.05,136.9667,302.74,66,100,0.86,JP,1696036573
492,492,al jaradiyah,16.5795,42.9124,302.87,70,13,1.1,SA,1696036574
493,493,enewetak,11.3474,162.3373,302.04,76,57,5.53,MH,1696036574
494,494,kawambwa,-9.7915,29.0791,294.96,41,87,3.18,ZM,1696036574
495,495,harper,4.375,-7.7169,298.42,86,71,2.61,LR,1696036574
496,496,cedeira,43.6797,-8.0209,290.58,90,0,2.29,ES,1696036574
497,497,lhasa,29.65,91.1,284.23,65,98,1.5,CN,1696036574
498,498,namtsy,62.7161,129.6658,274.74,43,100,1.11,RU,1696036574
499,499,ciudad del carmen,18.6333,-91.8333,303.17,70,20,6.17,MX,1696036574
500,500,bunia,1.5667,30.25,290.87,85,100,1.47,CD,1696036574
501,501,soure,-0.7167,-48.5233,300.34,75,25,4.91,BR,1696036574
502,502,pico truncado,-46.7949,-67.9573,282.71,58,64,7.74,AR,1696036575
503,503,najran,17.4924,44.1277,293.51,22,6,0.89,SA,1696036575
504,504,tanah rata,4.475,101.3704,292.97,77,16,0.12,MY,1696036575
505,505,cruz alta,-28.6386,-53.6064,288.27,95,55,3.5,BR,1696036575
506,506,camargo,27.6667,-105.1667,302.11,23,12,4.03,MX,1696036575
507,507,buxton,53.2574,-1.9098,283.87,93,100,1.74,GB,1696036575
508,508,vila franca do campo,37.7167,-25.4333,296.38,99,100,4.59,PT,1696036575
509,509,wanning,18.8003,110.3967,300.75,84,86,2.81,CN,1696036575
510,510,lewistown,40.5992,-77.5714,291.03,97,75,0.0,US,1696036562
511,511,trairi,-3.2778,-39.2689,298.59,78,99,5.05,BR,1696036421
512,512,pathein,16.7833,94.7333,297.41,98,100,3.4,MM,1696036563
513,513,sinan,34.8262,126.1086,290.66,75,100,0.9,KR,1696036343
514,514,lata,40.1629,-8.3327,292.55,58,0,1.61,PT,1696036576
515,515,santa fe do sul,-20.2111,-50.9258,299.51,52,6,3.34,BR,1696036576
516,516,dolbeau-mistassini,48.8763,-72.212,283.51,81,2,0.84,CA,1696036576
517,517,sakata,38.9167,139.855,295.25,64,75,5.66,JP,1696036576
518,518,gizo,-8.103,156.8419,300.71,79,98,2.67,SB,1696036576
519,519,east ballina,-28.8667,153.5833,300.82,62,0,5.59,AU,1696036576
520,520,almenara,-16.1836,-40.6944,296.22,76,99,2.27,BR,1696036576
521,521,mount isa,-20.7333,139.5,303.02,25,0,6.17,AU,1696036576
522,522,general acha,-37.377,-64.6043,281.21,37,0,3.4,AR,1696036576
523,523,saint-joseph,-21.3667,55.6167,293.41,72,0,3.72,RE,1696036577
524,524,samastipur,25.85,85.7833,299.97,86,100,2.11,IN,1696036577
525,525,goronyo,13.4423,5.6763,300.06,62,100,2.86,NG,1696036577
526,526,khanty-mansiysk,61.0042,69.0019,271.21,93,0,2.0,RU,1696036577
527,527,san andres,12.5847,-81.7006,303.16,74,20,3.09,CO,1696036577
528,528,brokopondo,4.75,-55.1667,301.05,57,2,4.41,SR,1696036577
529,529,uvira,-3.4067,29.1458,297.44,70,66,1.67,CD,1696036577
530,530,djibo,14.1022,-1.6306,303.49,37,100,5.65,BF,1696036577
531,531,sundumbili,-29.1337,31.3975,294.02,65,4,2.42,ZA,1696036577
532,532,kyakhta,50.3508,106.4494,280.2,67,10,2.16,RU,1696036578
533,533,sept-iles,50.2001,-66.3821,285.15,89,0,1.03,CA,1696036421
534,534,buka,40.8108,69.1986,289.37,41,100,2.09,UZ,1696036578
535,535,rikaze,29.25,88.8833,283.98,51,100,0.98,CN,1696036578
536,536,chahar burj,34.2448,62.1917,286.38,37,0,2.55,AF,1696036578
537,537,portrush,55.1959,-6.6493,282.86,89,100,0.89,GB,1696036578
538,538,bridgeport,41.167,-73.2048,289.61,93,100,5.66,US,1696036314
539,539,martan-chu,43.0637,45.5622,288.09,85,55,1.02,RU,1696036578
540,540,walvis bay,-22.9575,14.5053,285.42,91,0,2.83,,1696036578
541,541,mawlaik,23.6333,94.4167,298.07,95,100,0.41,MM,1696036578
542,542,bereznik,62.8551,42.7072,283.59,94,100,3.54,RU,1696036578
543,543,bridgewater,44.3835,-64.5155,286.97,95,100,1.03,CA,1696036579
544,544,caleta de carquin,-11.0925,-77.6267,292.2,87,100,3.93,PE,1696036579
